modality,model,fold,accuracy,f1_macro
EEG,SVM (RBF),1,62.963,62.6864
EEG,SVM (RBF),2,59.2593,58.8608
EEG,SVM (RBF),3,57.8704,57.6884
EEG,SVM (RBF),4,67.1296,67.1907
EEG,SVM (RBF),5,62.037,61.6831
EEG,Random Forest,1,55.5556,55.3543
EEG,Random Forest,2,56.4815,56.1529
EEG,Random Forest,3,50.463,49.8726
EEG,Random Forest,4,52.7778,52.6819
EEG,Random Forest,5,57.4074,57.3606
EEG,LDA,1,58.7963,58.7977
EEG,LDA,2,58.3333,58.2528
EEG,LDA,3,57.4074,57.2369
EEG,LDA,4,57.4074,56.961
EEG,LDA,5,57.4074,57.2793
EEG,kNN,1,38.4259,36.1039
EEG,kNN,2,42.1296,40.3346
EEG,kNN,3,38.8889,37.0077
EEG,kNN,4,38.8889,37.2624
EEG,kNN,5,45.8333,44.662
