subject,model,accuracy,precision,recall,f1
0,MLP,0.4962,0.57,0.4937,0.4675
0,DNN,0.4715,0.5388,0.4682,0.4562
0,Attention,0.5102,0.6953,0.5109,0.4769
0,Hybrid,0.5182,0.5559,0.5152,0.4973
0,Decision Fusion,0.5269,0.6399,0.525,0.4867
1,MLP,0.3621,0.5242,0.3569,0.3043
1,DNN,0.5293,0.5568,0.523,0.4511
1,Attention,0.4012,0.3856,0.4001,0.3267
1,Hybrid,0.4487,0.4015,0.4425,0.3932
1,Decision Fusion,0.5413,0.5708,0.531,0.468
2,MLP,0.4535,0.5077,0.4591,0.4541
2,DNN,0.4475,0.5702,0.4527,0.4513
2,Attention,0.4303,0.4826,0.4411,0.3847
2,Hybrid,0.4575,0.6352,0.4699,0.4161
2,Decision Fusion,0.5102,0.5781,0.5164,0.5064
3,MLP,0.4591,0.5011,0.449,0.4293
3,DNN,0.412,0.4078,0.4032,0.3801
3,Attention,0.4862,0.5065,0.4833,0.4661
3,Hybrid,0.4858,0.5138,0.4775,0.4645
3,Decision Fusion,0.4675,0.4869,0.4571,0.4349
4,MLP,0.5585,0.5925,0.5563,0.5403
4,DNN,0.4902,0.517,0.4871,0.4911
4,Attention,0.4511,0.5616,0.4509,0.4437
4,Hybrid,0.5186,0.573,0.5139,0.4943
4,Decision Fusion,0.521,0.5433,0.5201,0.5043
5,MLP,0.3309,0.4058,0.3386,0.311
5,DNN,0.3289,0.3305,0.3358,0.311
5,Attention,0.2739,0.3375,0.2769,0.2512
5,Hybrid,0.281,0.2485,0.2906,0.2372
5,Decision Fusion,0.4539,0.5451,0.461,0.4233
6,MLP,0.4387,0.4727,0.44,0.4179
6,DNN,0.4172,0.4304,0.4201,0.3827
6,Attention,0.4307,0.4819,0.4329,0.4045
6,Hybrid,0.4507,0.482,0.4534,0.4203
6,Decision Fusion,0.5717,0.5608,0.5684,0.5526
7,MLP,0.3868,0.3476,0.3748,0.3186
7,DNN,0.4012,0.4281,0.3924,0.3608
7,Attention,0.3329,0.3373,0.3256,0.3042
7,Hybrid,0.3521,0.4116,0.3427,0.3167
7,Decision Fusion,0.4782,0.5495,0.4684,0.4527
8,MLP,0.5246,0.6179,0.5327,0.4969
