modality,model,fold,accuracy,f1_macro
Eye,SVM (RBF),1,67.5926,67.314
Eye,SVM (RBF),2,72.6852,72.288
Eye,SVM (RBF),3,69.9074,69.5763
Eye,SVM (RBF),4,71.7593,71.4411
Eye,SVM (RBF),5,71.2963,71.3017
Eye,Random Forest,1,61.1111,60.1647
Eye,Random Forest,2,64.8148,64.2673
Eye,Random Forest,3,67.5926,67.3994
Eye,Random Forest,4,62.5,61.4608
Eye,Random Forest,5,65.7407,65.5392
Eye,LDA,1,62.5,61.9705
Eye,LDA,2,62.037,61.693
Eye,LDA,3,62.963,62.9481
Eye,LDA,4,61.1111,60.391
Eye,LDA,5,64.3519,64.4379
Eye,kNN,1,60.6481,59.8495
Eye,kNN,2,61.1111,60.1951
Eye,kNN,3,63.4259,62.5653
Eye,kNN,4,63.4259,62.9017
Eye,kNN,5,59.2593,58.585
