feature,avg_anova_pval,avg_kw_pval,anova_sig_all,kw_sig_all,sig_folds_anova,sig_folds_kw
eeg_74,1.0498961495612167e-102,1.329061125085058e-156,True,True,5,5
eeg_119,5.977632103577741e-87,5.405623222440805e-100,True,True,5,5
eeg_124,5.0863303735286554e-79,8.2738997535068645e-81,True,True,5,5
eeg_79,1.3608772175027145e-70,4.066698453570302e-87,True,True,5,5
eeg_118,1.8011289532579516e-65,5.758088751305861e-90,True,True,5,5
eeg_84,5.340376934194393e-63,9.165721849708556e-90,True,True,5,5
eeg_129,6.45106475509418e-58,1.4519751020767626e-74,True,True,5,5
eeg_73,6.603856546100387e-57,5.8083642331185364e-126,True,True,5,5
eeg_164,3.0147434564450945e-53,6.464682625768944e-85,True,True,5,5
eeg_108,3.102587497953149e-48,1.4492782915856879e-56,True,True,5,5
eeg_123,3.49490118830244e-47,5.994895794053467e-49,True,True,5,5
eeg_78,5.8556355035733985e-43,7.680314165685226e-64,True,True,5,5
eeg_83,1.751585729002644e-42,8.830615206658518e-50,True,True,5,5
eeg_159,3.655110514966181e-41,5.777538464946927e-46,True,True,5,5
eeg_109,8.286332791873165e-41,8.829331516749309e-50,True,True,5,5
eeg_209,6.07505103084273e-37,8.133961548225412e-52,True,True,5,5
eeg_29,1.518238286599264e-36,3.809318596603112e-53,True,True,5,5
eeg_154,1.931815613241603e-36,1.4431713772426753e-47,True,True,5,5
eeg_262,4.6548207294026896e-35,9.087247906975653e-41,True,True,5,5
eeg_128,8.87542531981531e-34,2.109733420428221e-36,True,True,5,5
eeg_120,1.743085726463462e-33,3.7927978279304215e-47,True,True,5,5
eeg_169,4.867640479221993e-33,1.6488028258082675e-38,True,True,5,5
eeg_163,4.3801968590949026e-32,3.108184637244353e-65,True,True,5,5
eeg_134,2.8008705350324344e-31,1.4154208713266883e-40,True,True,5,5
eeg_107,9.50630350455982e-31,1.3725394363804536e-47,True,True,5,5
eeg_121,4.494679519374631e-30,8.959505934177613e-47,True,True,5,5
eeg_292,2.7455139592519164e-29,1.2317929388774606e-39,True,True,5,5
eeg_88,4.440604853256076e-29,2.9820105505152014e-29,True,True,5,5
eeg_89,1.3007790741641432e-28,6.291852177145865e-30,True,True,5,5
eeg_62,6.75823768160979e-28,4.691438413685718e-39,True,True,5,5
eeg_133,8.696686695039787e-28,8.6983969620872e-28,True,True,5,5
eeg_34,1.278973183821093e-27,1.1368231490528601e-35,True,True,5,5
eeg_122,2.5808542853288626e-27,5.233725294793689e-30,True,True,5,5
eeg_259,4.1856986208399006e-27,2.0149145509161636e-43,True,True,5,5
eeg_70,1.8213111563101225e-26,4.5379528801277864e-63,True,True,5,5
eeg_174,5.0972465513531174e-26,2.7767870970247067e-36,True,True,5,5
eeg_293,8.865925703092189e-26,1.1011866095779801e-26,True,True,5,5
eeg_57,1.1554659312488276e-25,3.178886538432904e-40,True,True,5,5
eeg_287,3.762892794791228e-25,3.3624622889786364e-39,True,True,5,5
eeg_67,1.062193813811823e-24,6.505299179964476e-37,True,True,5,5
eeg_294,2.25954238810257e-24,8.225801527618391e-27,True,True,5,5
eeg_104,3.4877554190144396e-24,1.3987117876764807e-29,True,True,5,5
eeg_214,4.521877981537113e-24,9.990827922289765e-42,True,True,5,5
eeg_158,6.268410643829534e-24,1.4565195855517158e-42,True,True,5,5
eeg_82,8.733578998191031e-24,9.719325376933154e-33,True,True,5,5
eeg_103,1.9220568956791886e-23,5.7809331248539936e-24,True,True,5,5
eeg_115,4.974312640885023e-23,5.347488696048493e-63,True,True,5,5
eeg_264,5.401498715629556e-23,1.2331778537641438e-22,True,True,5,5
eeg_112,2.9900587511601827e-22,5.6812884354617424e-40,True,True,5,5
eeg_53,3.353429912205031e-22,1.0230919120152009e-29,True,True,5,5
eeg_261,6.370198311502617e-22,1.718943253002432e-24,True,True,5,5
eeg_127,6.603426355509241e-22,6.727120494590626e-22,True,True,5,5
eeg_52,3.964887808195459e-21,1.7753003296688703e-32,True,True,5,5
eeg_219,5.439111973869678e-21,5.182366904003935e-38,True,True,5,5
eeg_87,6.973725596087014e-21,3.561503973384211e-28,True,True,5,5
eeg_93,1.454666946053041e-20,1.9469066347080474e-22,True,True,5,5
eeg_263,2.756543148402885e-20,9.872546878000971e-20,True,True,5,5
eeg_38,3.7934940644136956e-20,2.3744374984343508e-23,True,True,5,5
eeg_28,4.4961568061209995e-20,7.048083887614513e-36,True,True,5,5
eeg_33,5.454463484238947e-20,1.343966168436554e-25,True,True,5,5
eeg_77,5.664489187343897e-20,6.189886458154739e-32,True,True,5,5
eeg_47,6.662145850584251e-20,3.59928391235769e-26,True,True,5,5
eeg_212,7.359710780692821e-20,5.535224038576068e-27,True,True,5,5
eeg_208,8.019015269962974e-20,8.872160049941568e-40,True,True,5,5
eeg_126,3.9769679361424086e-19,4.2913507738351575e-29,True,True,5,5
eeg_252,6.339745187941763e-19,6.166446646179606e-39,True,True,5,5
eeg_132,6.359039866602318e-19,2.2751241423275535e-18,True,True,5,5
eeg_167,9.545527667426807e-19,8.257314407536357e-27,True,True,5,5
eeg_72,1.0397492179048333e-18,1.1341643558561343e-49,True,True,5,5
eeg_37,1.1399611454896548e-18,1.3695205655230872e-28,True,True,5,5
eeg_39,1.6974158895733515e-18,9.517719497872073e-28,True,True,5,5
eeg_27,2.4592070476286377e-18,1.6323677704182506e-39,True,True,5,5
eeg_207,2.546783868148315e-18,6.455194223929791e-41,True,True,5,5
eeg_102,3.070846212811343e-18,3.0926653018762396e-28,True,True,5,5
eeg_153,4.565125230825176e-18,1.9818824881018653e-35,True,True,5,5
eeg_98,6.6920071377985595e-18,1.2489623119792726e-28,True,True,5,5
eeg_160,8.42629277801762e-18,1.3362838928843994e-38,True,True,5,5
eeg_58,1.016680742544283e-17,1.3265614492443278e-20,True,True,5,5
eeg_288,1.0300806200558123e-17,1.0280678086431735e-28,True,True,5,5
eeg_117,1.4796262416360236e-17,5.410086899302436e-44,True,True,5,5
eeg_289,1.7549925061146172e-17,1.5536567077882839e-21,True,True,5,5
eeg_157,1.8069077576486893e-17,6.6413612882004e-35,True,True,5,5
eeg_32,2.6852371483712942e-17,2.895206712060459e-30,True,True,5,5
eeg_152,2.7313919041034032e-17,1.448909791835163e-56,True,True,5,5
eeg_94,4.3906179808994784e-17,3.6098590955067947e-13,True,True,5,5
eeg_188,4.936396753846068e-17,5.166834040024984e-19,True,True,5,5
eeg_114,1.2887901941499095e-16,8.162019577297473e-25,True,True,5,5
eeg_217,2.0765825308085022e-16,1.8812236036428955e-21,True,True,5,5
eeg_254,2.1642203946148475e-16,1.1533356026353036e-37,True,True,5,5
eeg_155,2.260076456861763e-16,6.303844321033312e-33,True,True,5,5
eeg_272,2.7137692354047893e-16,6.8697379356103245e-34,True,True,5,5
eeg_92,3.513314512043315e-16,6.44640939531278e-22,True,True,5,5
eeg_205,4.1505741182720697e-16,2.5579642186697642e-36,True,True,5,5
eeg_149,4.898555035054421e-16,2.3915140873612722e-26,True,True,5,5
eeg_204,5.616110631826795e-16,3.075639498051287e-21,True,True,5,5
eeg_173,8.408581909868348e-16,1.625584893513824e-17,True,True,5,5
eeg_71,1.3230700138640859e-15,6.790649795662408e-44,True,True,5,5
eeg_106,1.3874590433500756e-15,1.412091979319053e-30,True,True,5,5
eeg_237,1.9377930199920374e-15,6.533042380436925e-38,True,True,5,5
eeg_8,2.241522983791119e-15,3.639792412725614e-20,True,True,5,5
eeg_7,2.9708511603744063e-15,5.15570637030006e-17,True,True,5,5
eeg_63,4.987663699603424e-15,6.442647553776256e-20,True,True,5,5
eeg_257,6.495878443553264e-15,3.713143603461674e-36,True,True,5,5
