modality,model,agg_method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
eeg,SVM_RBF,majority,34.31,5.21,41.32,7.88,33.92,4.74,29.47,5.65
eeg,SVM_RBF,proba_avg,35.37,4.44,43.17,6.92,35.09,3.92,30.6,5.1
eeg,RandomForest,majority,33.8,2.36,33.06,3.25,33.31,2.57,30.42,3.32
eeg,RandomForest,proba_avg,33.42,2.51,32.69,2.4,32.89,2.45,29.89,3.14
eeg,LDA,majority,31.8,1.35,39.6,6.45,31.98,1.0,29.25,3.18
eeg,LDA,proba_avg,31.94,0.51,39.99,6.3,32.1,0.79,29.32,2.61
eeg,kNN,majority,26.07,3.53,24.2,5.04,25.67,4.05,23.53,3.77
eeg,kNN,proba_avg,26.07,3.34,23.94,5.27,25.59,3.58,23.63,4.07
eye,SVM_RBF,majority,44.63,4.3,45.62,4.58,44.66,4.38,43.78,4.3
eye,SVM_RBF,proba_avg,44.58,4.08,45.48,3.98,44.6,4.29,43.59,4.08
eye,RandomForest,majority,44.4,2.01,45.33,1.61,44.34,2.1,43.53,1.96
eye,RandomForest,proba_avg,44.17,1.91,45.27,2.16,44.11,1.94,43.31,1.74
eye,LDA,majority,43.15,2.69,45.21,3.43,43.01,2.89,42.24,3.61
eye,LDA,proba_avg,43.1,2.82,45.12,3.42,42.97,2.98,42.2,3.63
eye,kNN,majority,38.52,4.74,38.85,5.25,38.56,4.77,38.08,5.05
eye,kNN,proba_avg,38.57,4.75,38.87,5.29,38.62,4.76,38.15,5.04
