generation,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.8865,0.000395,0.259902,128,64,4.7e-05
2,0.8895,0.000406,0.291384,128,64,4.7e-05
3,0.8895,0.000395,0.259902,128,64,4.7e-05
4,0.8895,0.000406,0.291384,128,64,4.7e-05
5,0.8895,0.000406,0.291384,128,64,4.7e-05
6,0.8895,0.000406,0.291384,128,64,4.7e-05
7,0.8895,0.000406,0.291384,128,64,4.7e-05
8,0.8895,0.000406,0.291384,128,64,4.7e-05
9,0.8895,0.000406,0.291384,128,64,4.7e-05
10,0.8895,0.000406,0.291384,128,64,4.7e-05
