iteration,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.8915,0.000197,0.2,128,32,0.000708
2,0.8915,0.000455,0.273563,256,64,0.000711
3,0.8915,0.000445,0.252665,128,32,0.000662
4,0.8915,0.0005,0.267748,256,32,0.000617
5,0.8915,0.000413,0.243406,256,32,0.000507
6,0.8915,0.0005,0.241036,128,32,0.000441
7,0.8915,0.000401,0.232619,128,32,0.000609
8,0.8915,0.000356,0.234214,256,32,0.000628
9,0.8915,0.000397,0.230501,128,32,0.000605
10,0.8915,0.000403,0.234616,256,32,0.000561
