iteration,best_accuracy,lr,dropout,hidden_dim,batch_size,weight_decay
1,0.8955,0.000338,0.22475,256,32,0.000263
2,0.8955,0.000338,0.22475,256,32,0.000263
3,0.8955,0.000338,0.22475,256,32,0.000263
4,0.8955,0.000338,0.22475,256,32,0.000263
5,0.8955,0.000338,0.22475,256,32,0.000263
6,0.8955,0.000338,0.22475,256,32,0.000263
7,0.8955,0.000338,0.22475,256,32,0.000263
8,0.8955,0.000338,0.22475,256,32,0.000263
9,0.8955,0.000338,0.22475,256,32,0.000263
10,0.8955,0.000338,0.22475,256,32,0.000263
