fold,model,accuracy,precision,recall,f1
1,MLP,0.6543,0.6702,0.6583,0.6535
1,DNN,0.5841,0.6342,0.592,0.5763
1,Attention,0.7145,0.7197,0.7184,0.7144
1,Attention+DNN,0.683,0.6969,0.6882,0.6823
1,Decision Fusion,0.6607,0.6742,0.6642,0.6608
2,MLP,0.651,0.6711,0.6569,0.65
2,DNN,0.5784,0.6029,0.586,0.5711
2,Attention,0.6962,0.7119,0.7017,0.6961
2,Attention+DNN,0.6992,0.7121,0.7044,0.7
2,Decision Fusion,0.6504,0.6591,0.653,0.6508
3,MLP,0.6527,0.6686,0.6578,0.6528
3,DNN,0.5765,0.6101,0.5879,0.5711
3,Attention,0.7013,0.7074,0.7046,0.7018
3,Attention+DNN,0.6972,0.7055,0.7014,0.6966
3,Decision Fusion,0.6424,0.6634,0.6434,0.6379
4,MLP,0.6464,0.648,0.6479,0.6462
4,DNN,0.5876,0.6132,0.5905,0.5847
4,Attention,0.7169,0.7231,0.7203,0.7179
4,Attention+DNN,0.6993,0.7059,0.7035,0.7005
4,Decision Fusion,0.6647,0.6709,0.6652,0.6637
5,MLP,0.6433,0.6487,0.647,0.6437
5,DNN,0.584,0.6309,0.59,0.579
5,Attention,0.7096,0.7122,0.7141,0.7095
5,Attention+DNN,0.6991,0.706,0.7038,0.6973
5,Decision Fusion,0.6426,0.6573,0.6438,0.6421
