fold,model,accuracy,precision,recall,f1
1,MLP,0.8112,0.8142,0.8137,0.8108
1,DNN,0.8034,0.8138,0.8077,0.8027
1,Attention,0.8622,0.864,0.8643,0.8617
1,Attention+DNN,0.879,0.8801,0.8792,0.8783
1,Decision Fusion,0.8278,0.8288,0.8284,0.8278
2,MLP,0.8167,0.8182,0.8185,0.8163
2,DNN,0.8221,0.8252,0.8224,0.8213
2,Attention,0.8578,0.858,0.8598,0.8574
2,Attention+DNN,0.8812,0.8819,0.8824,0.8809
2,Decision Fusion,0.8101,0.8118,0.812,0.8111
3,MLP,0.8104,0.8123,0.8113,0.8091
3,DNN,0.8256,0.8358,0.8242,0.8242
3,Attention,0.8469,0.8491,0.85,0.8467
3,Attention+DNN,0.8614,0.861,0.8629,0.8614
3,Decision Fusion,0.8004,0.802,0.8043,0.8007
4,MLP,0.8002,0.8066,0.8045,0.8006
4,DNN,0.8275,0.8295,0.8291,0.8268
4,Attention,0.8647,0.8668,0.8682,0.8652
4,Attention+DNN,0.8841,0.8841,0.8854,0.8842
4,Decision Fusion,0.8161,0.816,0.8169,0.816
5,MLP,0.8166,0.8163,0.819,0.8166
5,DNN,0.8222,0.8281,0.8239,0.8203
5,Attention,0.8582,0.8591,0.8598,0.8581
5,Attention+DNN,0.8694,0.871,0.8708,0.8691
5,Decision Fusion,0.7969,0.7987,0.7969,0.7968
