fold,model,accuracy,precision,recall,f1,test_subjects
1,MLP,0.3834,0.3854,0.3856,0.3783,"[0, 6, 11, 15, 21, 26, 30]"
1,DNN,0.3277,0.3411,0.3299,0.3184,"[0, 6, 11, 15, 21, 26, 30]"
1,Attention,0.3524,0.364,0.3552,0.3475,"[0, 6, 11, 15, 21, 26, 30]"
1,Hybrid,0.3038,0.3134,0.3056,0.3006,"[0, 6, 11, 15, 21, 26, 30]"
1,Decision Fusion,0.3871,0.3867,0.3882,0.3868,"[0, 6, 11, 15, 21, 26, 30]"
2,MLP,0.3226,0.3263,0.3203,0.3148,"[5, 7, 10, 20, 24, 29, 31]"
2,DNN,0.3199,0.3229,0.3182,0.3122,"[5, 7, 10, 20, 24, 29, 31]"
2,Attention,0.3199,0.3215,0.3222,0.3202,"[5, 7, 10, 20, 24, 29, 31]"
2,Hybrid,0.3154,0.3154,0.3172,0.3142,"[5, 7, 10, 20, 24, 29, 31]"
2,Decision Fusion,0.363,0.374,0.3605,0.36,"[5, 7, 10, 20, 24, 29, 31]"
3,MLP,0.3375,0.3727,0.3326,0.3224,"[4, 9, 14, 17, 23, 28]"
3,DNN,0.4226,0.4262,0.421,0.4206,"[4, 9, 14, 17, 23, 28]"
3,Attention,0.345,0.3496,0.3453,0.3446,"[4, 9, 14, 17, 23, 28]"
3,Hybrid,0.3467,0.3673,0.3448,0.3418,"[4, 9, 14, 17, 23, 28]"
3,Decision Fusion,0.4117,0.4148,0.4117,0.412,"[4, 9, 14, 17, 23, 28]"
4,MLP,0.2974,0.3139,0.297,0.2933,"[1, 8, 13, 18, 19, 27]"
4,DNN,0.2905,0.3016,0.294,0.2899,"[1, 8, 13, 18, 19, 27]"
4,Attention,0.3227,0.3246,0.3197,0.3208,"[1, 8, 13, 18, 19, 27]"
4,Hybrid,0.3091,0.3136,0.3075,0.3061,"[1, 8, 13, 18, 19, 27]"
4,Decision Fusion,0.3367,0.3418,0.3372,0.3356,"[1, 8, 13, 18, 19, 27]"
5,MLP,0.3357,0.3349,0.3344,0.3326,"[2, 3, 12, 16, 22, 25]"
5,DNN,0.3373,0.3519,0.3358,0.3229,"[2, 3, 12, 16, 22, 25]"
5,Attention,0.3309,0.3334,0.3351,0.3298,"[2, 3, 12, 16, 22, 25]"
5,Hybrid,0.3265,0.3261,0.3225,0.3201,"[2, 3, 12, 16, 22, 25]"
5,Decision Fusion,0.3925,0.3961,0.3951,0.395,"[2, 3, 12, 16, 22, 25]"
