fold,model,accuracy,precision,recall,f1
1,MLP,0.3231,0.3176,0.3074,0.3116
1,DNN,0.363,0.4352,0.3644,0.3693
1,Attention,0.3793,0.359,0.3629,0.3584
1,Hybrid,0.3343,0.3567,0.3391,0.3386
1,Decision Fusion,0.4559,0.4678,0.4394,0.4472
2,MLP,0.3688,0.3959,0.3583,0.3631
2,DNN,0.366,0.3526,0.3453,0.3296
2,Attention,0.3823,0.3852,0.3614,0.3568
2,Hybrid,0.3939,0.427,0.3852,0.3835
2,Decision Fusion,0.4443,0.437,0.4306,0.431
3,MLP,0.348,0.3338,0.3359,0.3275
3,DNN,0.3244,0.3358,0.3262,0.32
3,Attention,0.3803,0.396,0.3825,0.3771
3,Hybrid,0.366,0.3499,0.3607,0.3462
3,Decision Fusion,0.3512,0.3459,0.3378,0.3194
4,MLP,0.3736,0.3693,0.3565,0.3572
4,DNN,0.3839,0.3704,0.3629,0.3548
4,Attention,0.4043,0.375,0.3891,0.3763
4,Hybrid,0.4011,0.375,0.3817,0.3689
4,Decision Fusion,0.3716,0.363,0.3532,0.3426
5,MLP,0.3795,0.4926,0.3914,0.3912
5,DNN,0.4119,0.481,0.383,0.369
5,Attention,0.3636,0.368,0.365,0.3621
5,Hybrid,0.3612,0.4617,0.3692,0.3702
5,Decision Fusion,0.3708,0.4365,0.3623,0.3772
6,MLP,0.2789,0.2623,0.2945,0.2605
6,DNN,0.306,0.296,0.3071,0.2942
6,Attention,0.2657,0.2286,0.2676,0.2349
6,Hybrid,0.2809,0.2894,0.2837,0.2791
6,Decision Fusion,0.2992,0.2959,0.2973,0.2947
7,MLP,0.3168,0.2772,0.3132,0.2783
7,DNN,0.3088,0.3054,0.3045,0.2724
7,Attention,0.3176,0.3111,0.3096,0.2985
7,Hybrid,0.2645,0.24,0.2583,0.2247
7,Decision Fusion,0.3144,0.323,0.312,0.2957
8,MLP,0.2877,0.2726,0.2774,0.2642
8,DNN,0.3891,0.4107,0.3906,0.3865
8,Attention,0.3815,0.3872,0.3854,0.3828
8,Hybrid,0.318,0.3219,0.3237,0.3153
8,Decision Fusion,0.5226,0.5363,0.5183,0.5189
9,MLP,0.3108,0.2691,0.3008,0.2722
9,DNN,0.2885,0.2832,0.2893,0.2844
9,Attention,0.346,0.3271,0.3486,0.3064
9,Hybrid,0.2673,0.2785,0.2791,0.2408
9,Decision Fusion,0.3576,0.3566,0.3551,0.3533
10,MLP,0.346,0.3653,0.3529,0.3415
10,DNN,0.2944,0.2717,0.3155,0.2439
10,Attention,0.3504,0.3493,0.3472,0.3449
10,Hybrid,0.3192,0.2828,0.3374,0.2798
10,Decision Fusion,0.3943,0.4061,0.4053,0.3846
11,MLP,0.4874,0.4706,0.4737,0.4672
11,DNN,0.4175,0.4035,0.4285,0.3877
11,Attention,0.3556,0.3303,0.3629,0.3397
11,Hybrid,0.3839,0.3884,0.3872,0.3618
11,Decision Fusion,0.4455,0.4307,0.4435,0.4233
12,MLP,0.3516,0.3201,0.3379,0.3178
12,DNN,0.3843,0.3798,0.3946,0.3776
12,Attention,0.3572,0.3378,0.3356,0.3294
12,Hybrid,0.3548,0.3387,0.3383,0.3374
12,Decision Fusion,0.3859,0.3574,0.3625,0.3501
13,MLP,0.4055,0.4097,0.3974,0.3645
13,DNN,0.4071,0.394,0.3897,0.38
13,Attention,0.4231,0.4223,0.4407,0.407
13,Hybrid,0.3903,0.3849,0.3976,0.3865
13,Decision Fusion,0.467,0.4783,0.4664,0.448
14,MLP,0.34,0.3357,0.3505,0.3404
14,DNN,0.3404,0.3181,0.3516,0.3185
14,Attention,0.2984,0.2826,0.3084,0.2771
14,Hybrid,0.3392,0.3465,0.3509,0.337
14,Decision Fusion,0.4139,0.4071,0.4225,0.4103
15,MLP,0.3212,0.3647,0.3766,0.2875
15,DNN,0.3676,0.3872,0.4095,0.3401
15,Attention,0.4594,0.4476,0.4499,0.4328
15,Hybrid,0.3288,0.3721,0.3669,0.3232
15,Decision Fusion,0.4507,0.4598,0.4654,0.4441
