fold,model,accuracy,precision,recall,f1
1,MLP,0.3663,0.3688,0.3703,0.3627
1,DNN,0.3423,0.4301,0.3451,0.3303
1,Attention,0.3246,0.326,0.3261,0.3202
1,Hybrid,0.3373,0.3443,0.3432,0.3353
1,Decision Fusion,0.4221,0.4319,0.4264,0.4237
2,MLP,0.3277,0.334,0.326,0.3217
2,DNN,0.3392,0.3595,0.3397,0.3271
2,Attention,0.3096,0.3189,0.3079,0.3084
2,Hybrid,0.3445,0.3648,0.3454,0.3446
2,Decision Fusion,0.3849,0.3855,0.3849,0.3841
3,MLP,0.3118,0.3069,0.307,0.3035
3,DNN,0.3494,0.3469,0.3454,0.3434
3,Attention,0.3357,0.3329,0.3323,0.3277
3,Hybrid,0.3213,0.3209,0.3208,0.3136
3,Decision Fusion,0.3569,0.3593,0.3552,0.3532
4,MLP,0.375,0.3736,0.3728,0.3719
4,DNN,0.3577,0.3619,0.3565,0.3567
4,Attention,0.3494,0.3517,0.3501,0.3435
4,Hybrid,0.361,0.363,0.3606,0.3586
4,Decision Fusion,0.428,0.4362,0.4246,0.4256
5,MLP,0.3701,0.381,0.3686,0.365
5,DNN,0.3528,0.3754,0.3494,0.3359
5,Attention,0.3279,0.3615,0.3291,0.3185
5,Hybrid,0.3581,0.364,0.3584,0.3552
5,Decision Fusion,0.4252,0.4536,0.4228,0.4216
