fold,model,accuracy,precision,recall,f1
1,MLP,0.8194,0.8198,0.8219,0.8195
1,DNN,0.8248,0.8311,0.827,0.8239
1,Attention,0.8476,0.8475,0.8496,0.8474
1,Hybrid,0.8734,0.8736,0.8744,0.8731
1,Decision Fusion,0.8188,0.8198,0.8202,0.8189
2,MLP,0.8151,0.8178,0.8174,0.8147
2,DNN,0.8164,0.8241,0.8181,0.8159
2,Attention,0.8635,0.8654,0.8656,0.8638
2,Hybrid,0.8859,0.8857,0.8874,0.8857
2,Decision Fusion,0.8107,0.8134,0.8127,0.8112
3,MLP,0.8054,0.8073,0.8074,0.8043
3,DNN,0.8245,0.8282,0.8245,0.8232
3,Attention,0.8602,0.8598,0.862,0.8599
3,Hybrid,0.8647,0.8666,0.8673,0.8643
3,Decision Fusion,0.8021,0.8126,0.8039,0.8026
4,MLP,0.8054,0.811,0.805,0.8053
4,DNN,0.8339,0.8373,0.8357,0.8341
4,Attention,0.8559,0.8561,0.8578,0.8554
4,Hybrid,0.8579,0.8589,0.8597,0.8583
4,Decision Fusion,0.8071,0.8074,0.8091,0.807
5,MLP,0.7965,0.7988,0.7978,0.7964
5,DNN,0.7965,0.8067,0.8005,0.795
5,Attention,0.8586,0.859,0.86,0.8585
5,Hybrid,0.8714,0.8709,0.8722,0.8713
5,Decision Fusion,0.8086,0.8104,0.8111,0.8094
