fold,model,accuracy,precision,recall,f1
1,MLP,0.4522,0.4548,0.4544,0.4418
1,DNN,0.4563,0.4627,0.46,0.4448
1,Attention,0.452,0.4692,0.4562,0.4465
1,Hybrid,0.4583,0.4596,0.4591,0.4537
1,Decision Fusion,0.4766,0.4861,0.4735,0.4726
2,MLP,0.4427,0.4534,0.4439,0.4396
2,DNN,0.4725,0.4912,0.4741,0.4727
2,Attention,0.4141,0.4263,0.4174,0.4103
2,Hybrid,0.4655,0.4825,0.4624,0.4544
2,Decision Fusion,0.4519,0.467,0.4533,0.4536
3,MLP,0.4611,0.488,0.4563,0.4238
3,DNN,0.4623,0.4654,0.4581,0.4214
3,Attention,0.4578,0.4475,0.454,0.4235
3,Hybrid,0.4516,0.4464,0.4475,0.422
3,Decision Fusion,0.4397,0.49,0.438,0.408
4,MLP,0.4543,0.4913,0.4473,0.4216
4,DNN,0.4546,0.4599,0.4523,0.4278
4,Attention,0.4411,0.4912,0.4351,0.4041
4,Hybrid,0.4601,0.4687,0.4546,0.4385
4,Decision Fusion,0.4495,0.5113,0.4457,0.4194
5,MLP,0.4706,0.4696,0.4684,0.4611
5,DNN,0.495,0.5055,0.4941,0.4927
5,Attention,0.4523,0.4679,0.4466,0.4428
5,Hybrid,0.4723,0.4834,0.4688,0.4651
5,Decision Fusion,0.4161,0.4146,0.4085,0.3987
